sentence_id,sentence_text,token_text,pos_tag,dep_relation,lemma,is_stop,is_punct
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",after,SCONJ,mark,after,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",the,DET,det,the,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",very,ADV,advmod,very,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",heavy,ADJ,amod,heavy,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",'',PUNCT,punct,'',False,True
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",dragontown,ADJ,amod,dragontown,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",'',PUNCT,punct,'',False,True
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",album,PROPN,compound,album,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",alice,PROPN,nsubj,alice,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",decided,VERB,ROOT,decide,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",to,PART,aux,to,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",return,VERB,xcomp,return,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",to,ADP,prep,to,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",his,PRON,poss,his,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",roots,NOUN,pobj,root,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",",",PUNCT,punct,",",False,True
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",his,PRON,poss,his,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",place,NOUN,appos,place,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",of,ADP,prep,of,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",birth,NOUN,pobj,birth,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",",",PUNCT,punct,",",False,True
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",detroit,PROPN,appos,detroit,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",",",PUNCT,punct,",",False,True
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",where,SCONJ,advmod,where,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",he,PRON,nsubj,he,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",accidently,ADV,advmod,accidently,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",joined,VERB,relcl,join,False,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",in,ADP,prt,in,True,False
0,"after the very heavy '' dragontown '' album alice decided to return to his roots , his place of birth , detroit , where he accidently joined in with a festival together with mc5  iggy and the stooges .",with,ADP,prep,with,True,False
