sentence_id,atomic_sentence
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
0,"His place of birth, detroit, joined in with a festival together with mc5 iggy and the stooges."
0,Alice decided to return to his roots.
